title,area,bhk,sqft,bathrooms,price_lakhs,amenities,latitude,longitude
Modern Apartment in Thane,Thane,2,1258,3,185,parking|security|power backup|lift|clubhouse|fire safety|intercom|meditation room|pet friendly,19.22309,72.971776
Value-for-Money Flat in Navi Mumbai,Navi Mumbai,2,1099,2,85,parking|swimming pool|fire safety|visitor parking|meditation room,19.041086,73.020716
Updated Malad Near Metro,Malad,1,624,2,80,parking|security|power backup|lift|gym|children play area|fire safety|pet friendly,19.174636,72.840785
Bright & Airy Builder Floor in Goregaon,Goregaon,2,856,2,110,parking|security|power backup|gym|garden|fire safety|intercom|visitor parking|tennis court|ev charging|pet friendly,19.150383,72.856814
Vastu-Compliant Villa in Malad,Malad,3,1272,4,120,parking|security|power backup|lift|gym|swimming pool|fire safety|meditation room,19.199527,72.845441
Value-for-Money Villa in Vashi,Vashi,3,1943,4,170,parking|security|gym|visitor parking|meditation room|vastu compliant,19.064707,72.990231
Updated Thane Near Metro,Thane,4,2277,5,340,parking|security|power backup|lift|garden|cctv|intercom|tennis court|indoor games|gated community,19.211265,72.961566
Luxury Villa in Powai,Powai,3,1534,3,250,parking|lift|gym|swimming pool|garden|children play area|rainwater harvesting|fire safety|cctv|intercom|visitor parking|vastu compliant,19.127574,72.899636
Corner Andheri West with Parking,Andheri West,4,2030,5,240,parking|security|power backup|lift|gym|children play area|rainwater harvesting|fire safety|intercom|visitor parking|indoor games|meditation room|pet friendly|vastu compliant,19.113542,72.855049
Compact Flat in Mulund,Mulund,2,1067,3,90,parking|gym|children play area|rainwater harvesting|cctv|jogging track,19.185817,72.957637
Value-for-Money Apartment in Mulund,Mulund,2,1294,3,110,security|lift|garden|intercom|visitor parking|gated community,19.175227,72.95385
Bright & Airy Apartment in Kandivali,Kandivali,2,968,3,125,parking|security|power backup|swimming pool|children play area|cctv|meditation room|gated community,19.216758,72.83333
Vastu-Compliant Flat in Chembur,Chembur,2,1113,3,150,parking|security|power backup|lift|gym|garden|fire safety|cctv|intercom|visitor parking|pet friendly|gated community,19.05897,72.912617
Designer Penthouse in Worli,Worli,4,2629,4,580,parking|security|power backup|lift|gym|garden|children play area|rainwater harvesting|fire safety|cctv|visitor parking|indoor games|ev charging|vastu compliant,19.021677,72.799348
Designer Duplex in Powai,Powai,3,1674,4,260,parking|security|power backup|lift|gym|swimming pool|garden|clubhouse|children play area|fire safety|intercom|visitor parking|indoor games|party hall|solar panels,19.101164,72.89414
Vastu-Compliant Builder Floor in Vashi,Vashi,2,1137,2,70,parking|power backup|lift|garden|clubhouse|fire safety|intercom|gated community,19.079174,73.010421
Compact Studio in Powai,Powai,1,428,2,65,parking|security|power backup|lift|swimming pool|garden|clubhouse|fire safety|cctv|visitor parking|meditation room|solar panels|vastu compliant,19.118575,72.906888
Smart Home Duplex in Kandivali,Kandivali,3,1259,3,165,security|power backup|lift|rainwater harvesting|fire safety|cctv|pet friendly|gated community,19.203602,72.841511
Smart Home Villa in Borivali,Borivali,3,1417,3,195,parking|security|power backup|lift|gym|garden|children play area|intercom|meditation room|party hall|gated community,19.23304,72.863122
Luxury Duplex in Bandra West,Bandra West,3,1413,4,350,parking|security|lift|gym|rainwater harvesting|fire safety|intercom|tennis court|party hall|pet friendly|gated community,19.059816,72.840276
Exquisite Powai in Prime Location,Powai,4,2189,5,570,parking|security|power backup|lift|children play area|fire safety|cctv|intercom|visitor parking|meditation room|concierge|pet friendly|gated community|vastu compliant,19.106521,72.897951
